Name,ID
MoNuSeg,1ZYeUn_zl6A3X8gFSdS07WT8Jo2O2dI-z
PanNuke1,1U9xjLHRChWTdfqYanmta5GJpXEijVubP
PanNuke2,1mkGeHwPVm7a2jETQECzCOn6YW1wuEZx5
PanNuke3,1b9v7Y5lIJOKAwV3fnCwL8YGXsmwxdgSe
NuInSeg,14ZOx078bUZC_6vgvtYie2_utORZMCzig
